"cut","depth","table","price","x","y","z"
"Ideal",61,57,4170,5.96,6,3.65
"Ideal",62,57,863,4.35,4.33,2.69
"Ideal",61.3,56,5294,6.49,6.44,3.96
"Very Good",63.9,57,4289,6.05,6.12,3.89
"Premium",61.1,59,1263,4.75,4.78,2.91
"Very Good",63.5,58,6145,7.05,7.09,4.49
"Ideal",62,56,770,4.59,4.54,2.83
"Premium",59.4,59,954,4.48,4.51,2.67
"Premium",62.2,57,698,4.37,4.34,2.71
"Very Good",61.3,57,4153,6.45,6.5,3.97
"Premium",62.1,59,4234,6.14,6.09,3.8
"Ideal",60.7,56,808,4.69,4.74,2.86
"Ideal",61.6,55,844,4.51,4.55,2.78
"Premium",62.2,59,3062,5.71,5.61,3.52
"Good",58.4,62.1,2282,5.8,5.83,3.4
"Very Good",63.4,58,776,4.25,4.23,2.69
"Very Good",61.7,56,11132,6.64,6.65,4.1
"Ideal",62.4,56,1412,5.18,5.17,3.23
"Ideal",61.9,55,3016,5.85,5.88,3.64
"Very Good",63,58,3534,5.8,5.86,3.67
"Ideal",61.4,55,1868,5.26,5.3,3.24
"Ideal",60.9,57,2096,5.26,5.31,3.22
"Very Good",60.5,57,12014,7.39,7.43,4.48
"Ideal",62.7,56.9,11314,8.03,8.07,5.05
"Premium",61,59,3230,6.01,5.99,3.66
"Ideal",61.7,55,645,4.39,4.43,2.72
"Premium",60.2,62,1720,5.31,5.25,3.18
"Premium",60.7,59,1581,5.11,5.13,3.11
"Ideal",61.9,54,2041,5.23,5.25,3.24
"Very Good",60.8,58,6286,6.81,6.85,4.15
"Very Good",62.3,56,7507,6.29,6.4,3.95
"Premium",60,62,2444,5.79,5.75,3.46
"Premium",60.4,57,1775,5.38,5.35,3.24
"Fair",66.6,57,5350,6.09,6.14,4.07
"Ideal",61.1,57,1737,5.36,5.41,3.29
"Good",64.1,57,8852,7.26,7.21,4.64
"Fair",66.5,58,2571,6.79,6.75,4.5
"Ideal",61,57,3390,6,5.95,3.65
"Good",59.1,65,1377,5.28,5.32,3.13
"Premium",60.9,58,998,4.67,4.63,2.83
"Ideal",62.7,57,5842,6.7,6.72,4.21
"Ideal",61.7,56,541,4.35,4.37,2.69
"Premium",61.4,59,2065,5.5,5.47,3.37
"Ideal",62.6,55,571,4.41,4.38,2.75
"Ideal",61.4,56,2606,5.73,5.76,3.53
"Ideal",62,57,11233,6.65,6.57,4.1
"Ideal",62.2,57,766,4.28,4.31,2.67
"Ideal",61.6,55,523,4.6,4.65,2.85
"Premium",60.4,59,16104,7.48,7.38,4.49
"Premium",62.3,56,8030,6.8,6.68,4.2
"Ideal",62.1,54,9683,7.46,7.49,4.64
"Premium",62.6,57,648,4.54,4.5,2.83
"Premium",60.3,60,2671,5.76,5.81,3.49
"Ideal",60.9,56,4029,5.76,5.79,3.52
"Premium",61.6,58,3479,5.78,5.72,3.54
"Premium",59.7,58,9537,6.94,6.9,4.13
"Ideal",61.5,56,1257,4.66,4.64,2.86
"Very Good",63.4,54,1601,5.08,5.11,3.23
"Premium",61.6,59,698,4.33,4.31,2.66
"Very Good",60.2,60,3871,6.09,6.14,3.68
"Premium",62.4,58,720,4.4,4.35,2.73
"Premium",60.6,60,650,4.53,4.48,2.73
"Ideal",61.9,56,1136,4.74,4.79,2.95
"Premium",59.5,60,4853,6.49,6.48,3.86
"Very Good",62.4,63,3997,6.18,6.15,3.85
"Very Good",63.5,57,5586,6.99,6.88,4.4
"Ideal",61.2,58,422,4.28,4.31,2.63
"Ideal",61.4,57,2834,5.2,5.23,3.2
"Very Good",61,59,3084,5.73,5.78,3.51
"Ideal",61.5,57,928,4.47,4.41,2.73
"Premium",60.5,59,4654,6.79,6.73,4.09
"Premium",60.7,59,623,4.21,4.19,2.55
"Premium",62.1,60,1724,5.65,5.62,3.5
"Premium",61.9,58,2047,5.35,5.32,3.3
"Ideal",61,56,1168,4.38,4.41,2.68
"Very Good",63,56,10800,6.35,6.41,4.02
"Ideal",61.8,57,9853,7.44,7.39,4.58
"Very Good",61.3,59,575,4.07,4.12,2.51
"Premium",62,57,11345,7.48,7.43,4.62
"Very Good",63.2,56,765,4.73,4.7,2.98
"Fair",56.3,67,5078,6.52,6.45,3.65
"Very Good",62.3,56,681,4.61,4.64,2.88
"Ideal",60.6,56,485,4.42,4.46,2.69
"Premium",61.7,56,4872,6.82,6.76,4.19
"Ideal",61.5,56,2513,5.48,5.54,3.39
"Good",63.3,58,5497,6.35,6.39,4.03
"Very Good",59.3,57,393,4.07,4.12,2.43
"Ideal",62.5,55,756,4.4,4.37,2.74
"Ideal",62.6,52,1408,5.06,5.09,3.18
"Ideal",62,54.8,764,4.57,4.59,2.84
"Premium",63,57,1139,4.93,4.79,3.06
"Ideal",61.5,56,716,4.43,4.45,2.73
"Premium",60.8,58,1173,5.21,5.19,3.16
"Ideal",62.3,54,2295,5.76,5.79,3.6
"Ideal",62.6,56,811,4.56,4.61,2.87
"Very Good",61.7,57,684,4.77,4.7,2.92
"Good",63.2,60,617,4.17,4.19,2.64
"Premium",61.6,56,1627,5.24,5.18,3.21
"Very Good",62.3,59,8361,6.69,6.72,4.18
"Ideal",61.5,54,715,4.42,4.46,2.73
"Ideal",62.7,56,12712,7.44,7.5,4.68
"Premium",62.2,58,13085,7.76,7.68,4.8
"Good",63.4,55,544,4.31,4.33,2.74
"Premium",61.5,58,1389,5.28,5.26,3.24
"Very Good",63,58,2456,5.68,5.72,3.59
"Premium",59.3,59,6202,7.54,7.5,4.46
"Ideal",62.3,55,14750,7.35,7.29,4.56
"Ideal",62.7,56,1689,5.14,5.16,3.23
"Very Good",61.2,57.4,1311,5.23,5.25,3.21
"Very Good",63.3,56,907,4.32,4.3,2.73
"Very Good",62.9,56,1191,4.67,4.71,2.95
"Good",63.9,60,5055,6.29,6.32,4.03
"Very Good",60.9,57,5287,6.52,6.56,3.98
"Very Good",60.4,60,4352,6.48,6.57,3.94
"Premium",61.4,52,1412,5.29,5.26,3.24
"Very Good",62.9,52,1257,4.9,4.95,3.1
"Premium",62.7,58,2694,5.71,5.67,3.57
"Very Good",63,58,3351,5.81,5.85,3.67
"Ideal",61.3,59,1338,5.42,5.48,3.34
"Very Good",62.8,57,1841,5.64,5.67,3.55
"Very Good",61.8,56,1801,5.53,5.57,3.43
"Very Good",61,58,4746,6.5,6.54,3.98
"Ideal",61.9,56,1689,5.12,5.16,3.18
"Ideal",61.5,57,3644,6.17,6.23,3.81
"Ideal",62,56,828,4.41,4.37,2.72
"Ideal",60.2,59,1941,5.47,5.49,3.3
"Ideal",62,57,17871,8.1,8.03,5
"Premium",62.6,58,11387,6.37,6.44,4.01
"Very Good",62.8,58,13996,8.13,8.17,5.12
"Ideal",62.1,56,4162,6.41,6.44,3.99
"Very Good",62.1,56,2175,5.64,5.67,3.51
"Very Good",62,58,4414,6.43,6.51,4.01
"Very Good",59.6,61,4588,6.47,6.52,3.87
"Ideal",62.4,54,8393,6.51,6.56,4.08
"Ideal",61.6,55,14667,6.7,6.68,4.12
"Very Good",61.1,56,9063,6.45,6.48,3.95
"Ideal",62,56,1941,5.21,5.25,3.24
"Very Good",62.5,57,13253,7.46,7.49,4.67
"Very Good",62.9,56,807,4.69,4.72,2.96
"Premium",61.7,60,6762,7.05,6.95,4.32
"Ideal",62.2,56,1815,5.15,5.11,3.19
"Very Good",63.1,57,698,4.31,4.28,2.71
"Ideal",62.1,56,1637,5.24,5.19,3.24
"Fair",67.7,58,6653,8.01,7.97,5.41
"Ideal",61.6,56,5798,6.55,6.59,4.05
"Premium",62.1,58,6930,6.5,6.54,4.05
"Ideal",62.1,54,3450,5.76,5.81,3.59
"Very Good",63.1,57,9384,7.29,7.25,4.59
"Ideal",61,56,8157,6.52,6.49,3.97
"Ideal",60,57,1053,4.76,4.7,2.84
"Ideal",60.4,56,605,4.32,4.36,2.62
"Premium",60.9,60,833,4.63,4.6,2.81
"Ideal",62.4,55,505,3.94,3.95,2.46
"Very Good",61.6,61,4102,6.61,6.66,4.09
"Ideal",62.3,54,1879,5.14,5.17,3.21
"Very Good",63.5,59,5967,6.33,6.23,3.99
"Premium",62.1,60,8133,7.21,7.12,4.45
"Premium",61.8,60,1330,5.22,5.2,3.22
"Ideal",62.3,56,4489,6.53,6.57,4.08
"Very Good",63.4,57,2649,5.86,5.9,3.73
"Ideal",62.5,57,1076,4.76,4.75,2.97
"Ideal",62.1,56,1580,5.29,5.31,3.29
"Ideal",62,55,1664,5.37,5.4,3.34
"Premium",61.5,59,18310,8.16,8.24,5.04
"Good",63.5,55,589,4.31,4.35,2.75
"Premium",59.2,61,1662,5.17,5.16,3.06
"Ideal",60.7,57,1915,5.34,5.31,3.23
"Ideal",60.1,57,1909,5.26,5.23,3.15
"Premium",61.2,59,816,4.32,4.34,2.65
"Premium",62.1,56,743,4.45,4.41,2.75
"Premium",62.8,57,4155,6.44,6.37,4.02
"Premium",62.7,56,1035,4.73,4.71,2.96
"Very Good",63.3,56,14482,7.3,7.26,4.61
"Premium",61.4,55,4273,6.51,6.48,3.99
"Ideal",62.5,56,2022,5.22,5.25,3.27
"Very Good",62.9,56,3070,5.88,5.95,3.72
"Very Good",61,57,11638,7.67,7.76,4.71
"Ideal",61.3,56,891,4.38,4.4,2.69
"Premium",62.6,58,5599,6.32,6.3,3.95
"Good",61.8,59,3744,6.11,6.19,3.8
"Ideal",62.3,56,8436,6.79,6.82,4.24
"Premium",61.2,58,5744,6.52,6.55,4
"Ideal",61.6,56,7328,6.81,6.83,4.2
"Good",63.6,62,4586,6.3,6.24,3.99
"Ideal",62.4,53,667,4.75,4.77,2.97
"Ideal",62,56,426,4.31,4.34,2.68
"Premium",58.2,61,1340,5.27,5.22,3.05
"Ideal",61.9,57,1884,5.33,5.37,3.31
"Ideal",62.3,57,683,4.75,4.78,2.97
"Good",61.7,61,653,4.32,4.34,2.67
"Very Good",60.1,57,633,4.1,4.13,2.47
"Very Good",62.8,58,2532,5.78,5.84,3.65
"Premium",60.1,61,1087,4.84,4.81,2.9
"Premium",61.2,59,919,4.89,4.82,2.97
"Ideal",60.7,57,432,4.42,4.47,2.7
"Premium",61.6,61,882,4.82,4.79,2.96
"Ideal",62.1,57,6558,6.44,6.47,4.01
"Ideal",62.3,55,1760,5.36,5.3,3.32
"Very Good",62.3,58,421,4.37,4.42,2.74
"Premium",60.7,62,2822,5.72,5.68,3.46
"Premium",62.5,60,709,4.27,4.24,2.66
"Ideal",62.6,55,12415,7.39,7.37,4.62
"Premium",59,60,698,4.41,4.37,2.59
"Ideal",61.9,57,8811,6.46,6.5,4.01
"Ideal",61.9,56,2909,5.7,5.74,3.54
"Ideal",62.9,56,1345,5.27,5.25,3.31
"Premium",61.7,58,720,4.44,4.38,2.72
"Good",61,62,1844,5.36,5.33,3.26
"Premium",62.2,58,2282,5.9,5.85,3.66
"Very Good",63.2,58,1381,5.21,5.23,3.3
"Ideal",60.6,57,730,4.41,4.43,2.68
"Premium",60.3,59,4191,6.45,6.42,3.88
"Premium",61.3,58,408,4.37,4.4,2.69
"Very Good",60.1,58,4130,6.27,6.3,3.78
"Premium",60.5,56,6254,7.19,7.12,4.33
"Very Good",59.7,59,2999,5.82,5.78,3.46
"Premium",60.5,60,473,4.3,4.33,2.61
"Ideal",62.5,55,1173,5.28,5.32,3.31
"Very Good",62.5,56,886,4.27,4.3,2.68
"Ideal",60.8,57,761,4.38,4.4,2.67
"Very Good",59.1,57,12196,7.28,7.38,4.33
"Premium",61.6,58,441,4.49,4.54,2.78
"Good",63.6,54,749,4.33,4.28,2.74
"Very Good",63.1,55,7600,7.36,7.28,4.62
"Good",61.4,57.5,6178,6.62,6.66,4.08
"Good",64.3,60,13622,7.56,7.52,4.85
"Ideal",61,55,1176,4.52,4.47,2.74
"Premium",60.8,59,854,4.45,4.43,2.7
"Premium",62.8,52,6405,7.15,7.06,4.46
"Ideal",61.4,56,2635,5.86,5.9,3.61
"Premium",62.5,59,984,4.79,4.72,2.97
"Premium",58.5,61,1775,5.64,5.58,3.28
"Ideal",62.6,57,928,4.42,4.37,2.75
"Ideal",61.1,58,3967,6.24,6.19,3.79
"Ideal",62,57,6857,6.77,6.82,4.21
"Premium",62.5,58,2234,5.73,5.69,3.57
"Ideal",62.5,57,5808,7,7.04,4.39
"Premium",63,56,18371,7.98,7.93,5.01
"Ideal",61.9,56,556,4.54,4.57,2.82
"Very Good",63.1,57,663,4.31,4.28,2.71
"Ideal",62.7,57,1698,5.27,5.23,3.29
"Very Good",61.9,61,8358,6.61,6.64,4.1
"Ideal",62.7,55,2793,5.72,5.76,3.6
"Ideal",61.4,57,477,4.28,4.32,2.64
"Ideal",62.1,57,525,4.01,4.07,2.5
"Good",63.9,62,5147,6.31,6.25,4.01
"Very Good",58.9,58,12697,7.57,7.63,4.48
"Ideal",62.2,58,6741,6.77,6.84,4.23
"Good",62.9,54,1767,5.47,5.56,3.47
"Premium",62.3,56,4502,6.21,6.14,3.85
"Premium",61.3,58,2596,5.74,5.68,3.5
"Good",63.9,58,988,4.3,4.27,2.74
"Premium",61.2,57,5768,6.92,6.86,4.22
"Ideal",62.7,55.2,687,4.78,4.79,3
"Ideal",61.6,57,8020,6.51,6.48,4
"Very Good",62.2,58,1243,4.95,4.99,3.09
"Ideal",62.2,57,4413,6.6,6.56,4.09
"Good",63.1,60,605,4.24,4.28,2.69
"Ideal",61.9,57,5358,6.63,6.58,4.09
"Ideal",60.3,57,11820,7.52,7.45,4.51
"Very Good",63.3,53,13811,7.33,7.26,4.62
"Ideal",61.9,55,13406,7.03,7.05,4.36
"Premium",60.1,62,956,4.57,4.52,2.73
"Premium",62.2,58,2669,5.63,5.59,3.49
"Premium",61.9,59,990,4.87,4.82,3
"Ideal",61.3,57,2105,5.4,5.47,3.33
"Fair",65.2,56,12765,7.92,7.87,5.15
"Ideal",61.8,57,844,4.28,4.31,2.65
"Premium",60.4,58,1388,5.32,5.37,3.23
"Premium",62.4,60,10407,6.36,6.31,3.95
"Very Good",58.5,60,3543,5.83,5.87,3.42
"Good",61,61,2789,5.94,5.99,3.64
"Good",59.4,65,1131,5.31,5.22,3.13
"Premium",60.3,61,668,4.06,4.03,2.44
"Ideal",63,57,1195,5.14,5.11,3.23
"Very Good",62.5,55,4392,6.38,6.41,4
"Ideal",62.1,53.8,1961,5.27,5.33,3.29
"Fair",64.6,60,4077,6.23,6.18,4.01
"Ideal",62.1,56,2327,5.72,5.68,3.54
"Very Good",63,57,931,4.66,4.7,2.95
"Premium",61.4,58,7875,6.68,6.73,4.12
"Premium",61,59,2313,5.28,5.27,3.22
"Good",63.2,60,1361,5.13,5.16,3.25
"Ideal",63,55,586,4.14,4.19,2.62
"Good",63.7,55,575,4.55,4.59,2.91
"Ideal",60.5,57,906,4.58,4.55,2.76
"Ideal",60.5,56,3599,6.49,6.53,3.94
"Good",61,62,12927,8.1,8.14,4.95
"Very Good",61.4,61,1068,5.09,5.14,3.14
"Very Good",59.4,60,2723,6.03,6.06,3.59
"Ideal",60.2,57,9604,6.87,6.94,4.15
"Fair",64.9,59,4704,6.2,6.13,4
"Premium",60.6,59,710,4.28,4.36,2.62
"Ideal",61.1,57,5219,6.71,6.62,4.07
"Premium",59.3,60,2030,5.91,5.86,3.49
"Premium",59.7,58,1698,5.37,5.31,3.19
"Very Good",60.3,59,790,4.71,4.77,2.86
"Ideal",62,56,2671,5.71,5.74,3.55
"Fair",64.9,59,3011,6.61,6.54,4.27
"Good",64.3,55,681,4.56,4.64,2.96
"Good",64.2,63,13784,8.66,8.57,5.53
"Ideal",62.1,57,601,4.47,4.49,2.78
"Good",63.3,56,3310,5.64,5.7,3.59
"Very Good",63,56,3368,6.09,6.16,3.86
"Premium",61.3,60,5101,6.53,6.51,4
"Ideal",62.9,55,7513,6.77,6.8,4.27
"Premium",60.4,60,2573,5.74,5.79,3.48
"Ideal",61,57,972,4.46,4.42,2.71
"Very Good",60.1,58,566,4.21,4.23,2.53
"Fair",65.7,56,2274,5.51,5.54,3.63
"Ideal",61,57,5189,6.56,6.53,3.99
"Ideal",62.5,55,18188,7.38,7.4,4.62
"Good",63.4,56,477,4.36,4.38,2.77
"Very Good",62,58,9803,6.77,6.82,4.21
"Ideal",61.7,57,7113,6.72,6.8,4.17
"Ideal",61.3,57,2575,5.73,5.76,3.52
"Fair",64.9,57,2971,6.13,6.08,3.96
"Ideal",61.5,57,1319,4.9,4.86,3
"Very Good",59.8,60,2196,5.75,5.83,3.46
"Very Good",63.3,55,1073,5.13,5.1,3.24
"Ideal",61.6,57,740,4.1,4.08,2.52
"Premium",62.2,59,912,4.71,4.74,2.94
"Ideal",62.1,55,844,4.33,4.3,2.68
"Very Good",62.6,56,421,4.37,4.41,2.75
"Ideal",61.8,56,595,4.07,4.09,2.52
"Good",57,62,628,4.51,4.54,2.58
"Very Good",62.8,57,477,4.35,4.38,2.74
"Premium",62.7,58,2901,5.91,5.93,3.71
"Fair",64.9,56,4398,6.39,6.34,4.13
"Ideal",62.1,57,462,4.32,4.34,2.69
"Ideal",62.3,57,9836,6.86,6.82,4.26
"Premium",60.8,58,1858,5.83,5.78,3.53
"Very Good",61.9,58,1298,5.1,5.15,3.17
"Premium",61.7,60,882,4.72,4.68,2.9
"Very Good",61.5,58,1077,5.03,5.09,3.11
"Ideal",61.6,56,2081,5.32,5.29,3.27
"Ideal",60.7,55,1697,5.32,5.25,3.21
"Very Good",63.1,56,1368,5.22,5.24,3.3
"Ideal",61.8,55,3417,5.75,5.77,3.56
"Premium",62.2,60,6533,6.4,6.37,3.97
"Good",65.4,59,1088,4.79,4.88,3.16
"Premium",61.1,58,3462,5.81,5.84,3.56
"Premium",59.4,61,7319,7.29,7.25,4.32
"Premium",60.6,58,971,4.65,4.62,2.81
"Ideal",61.5,57,463,4.42,4.49,2.74
"Very Good",61.2,58,6811,6.96,7.09,4.3
"Premium",62.2,55,1823,5.51,5.46,3.41
"Ideal",60.3,56,733,4.15,4.17,2.51
"Ideal",61.2,55,2343,5.71,5.76,3.51
"Very Good",60.1,57,1813,5.44,5.48,3.28
"Ideal",62.5,54.4,9785,6.75,6.82,4.24
"Premium",61.5,60,6512,7.46,7.39,4.56
"Ideal",61.4,57,6173,6.52,6.44,3.98
"Premium",61.5,58,1857,5.2,5.24,3.21
"Premium",62.7,57,2717,6.09,6.06,3.8
"Ideal",61.4,57,16343,7.38,7.4,4.54
"Premium",62,55,4183,6.2,6.16,3.83
"Ideal",62.1,54,1046,4.37,4.33,2.7
"Premium",61.5,57,4740,6.93,6.88,4.25
"Premium",59.8,59,9596,7.76,7.66,4.61
"Premium",60.6,58,4077,6.47,6.4,3.9
"Good",63.7,61,1125,5.02,4.99,3.19
"Ideal",61.2,56,6857,6.65,6.68,4.08
"Ideal",62.2,57,367,3.76,3.73,2.33
"Very Good",63.4,58,11843,7.57,7.6,4.81
"Ideal",62.8,54.2,5728,6.32,6.4,4.01
"Ideal",62.1,56,2205,5.49,5.52,3.42
"Premium",62.4,58,5550,6.69,6.57,4.14
"Good",63.9,55,457,4.28,4.3,2.74
"Good",63.1,59,5817,6.31,6.37,4
"Good",63.8,57,12918,7.63,7.53,4.84
"Very Good",59.9,59,1949,5.92,5.94,3.55
"Ideal",61.6,55,1365,4.99,5.01,3.08
"Ideal",62.1,54,2561,5.92,5.94,3.68
"Ideal",61.8,55,1919,5.19,5.16,3.2
"Ideal",61.9,54,1173,5.21,5.23,3.23
"Premium",61.1,59,10428,7.44,7.52,4.57
"Premium",61.9,62,2694,5.72,5.69,3.53
"Premium",58.8,59,1053,4.83,4.8,2.83
"Premium",60.9,59,1082,4.65,4.61,2.82
"Very Good",58.5,56,4619,6.6,6.69,3.89
"Very Good",63.5,56,3897,6.38,6.35,4.04
"Ideal",61.7,56,1692,5.26,5.3,3.26
"Good",63.8,56,1363,5.18,5.14,3.29
"Premium",61.4,59,6238,6.48,6.42,3.96
"Very Good",62.2,59,489,4.34,4.38,2.71
"Very Good",63,61,3878,6.05,6.14,3.84
"Ideal",60.1,57,9405,7.49,7.53,4.51
"Ideal",61.9,54,4745,6.56,6.59,4.07
"Ideal",62.2,57,449,4.39,4.42,2.74
"Ideal",62.7,54,921,4.8,4.83,3.02
"Fair",59,70,2800,5.89,5.8,3.46
"Ideal",60.8,57,645,4.39,4.42,2.68
"Very Good",61.1,62,2250,5.64,5.69,3.46
"Very Good",62.6,55,2440,5.71,5.76,3.59
"Premium",60.5,58,4327,6.55,6.47,3.94
"Ideal",60.8,56,3775,6.61,6.57,4.01
"Ideal",61.4,56,2376,5.73,5.77,3.53
"Premium",60.7,60,1263,4.74,4.78,2.89
"Premium",60.3,61,5400,6.62,6.57,3.98
"Very Good",60,57,1549,5.15,5.19,3.1
"Premium",61.8,58,1013,4.57,4.52,2.81
"Good",63.8,57,3532,6.31,6.36,4.04
"Ideal",60.3,55,5837,6.62,6.57,3.98
"Ideal",59.8,54,16547,7.75,7.63,4.6
"Premium",62.1,59,10012,7.06,7.02,4.37
"Premium",60,59,5310,7.63,7.56,4.56
"Very Good",63.7,56,1553,4.95,5.03,3.18
"Very Good",61,56,1643,5.26,5.3,3.22
"Premium",62.3,57,2469,5.86,5.85,3.65
"Premium",62.2,58,9961,7.46,7.55,4.67
"Very Good",63,58,2367,5.64,5.69,3.57
"Good",63.3,57,4692,6.33,6.37,4.02
"Premium",60.2,58,589,4.4,4.43,2.66
"Ideal",60.9,56,1707,5.17,5.21,3.16
"Premium",60.2,58,2553,5.92,5.88,3.55
"Premium",59.2,61,812,4.72,4.67,2.78
"Very Good",60.3,60,579,4.47,4.49,2.7
"Premium",62,57,5581,6.48,6.43,4
"Premium",59.7,59,2365,5.94,5.81,3.51
"Premium",62.5,59,3550,6.24,6.2,3.89
"Very Good",62.8,57,5346,6.73,6.8,4.25
"Premium",59.8,61,3360,6.24,6.17,3.71
"Ideal",62.2,57,833,4.64,4.59,2.87
"Ideal",64.3,59,6573,6.87,6.84,4.41
"Premium",61.4,60,5947,6.85,6.79,4.19
"Ideal",61.5,55,905,4.4,4.42,2.71
"Premium",58.9,58,6145,7.08,6.98,4.14
"Premium",62.1,58,1654,5.1,5.07,3.16
"Ideal",62,58,6232,6.83,6.88,4.25
"Premium",61,58,1835,5.21,5.15,3.16
"Ideal",60.4,57,1354,5.23,5.27,3.17
"Very Good",62.8,44,474,4.2,4.24,2.65
"Ideal",60.9,56,610,4.41,4.45,2.7
"Very Good",63.3,58,3756,6.11,6.06,3.85
"Ideal",62.4,56,984,4.8,4.78,2.99
"Ideal",62.4,56,10309,7.59,7.63,4.75
"Very Good",62.9,54,660,4.4,4.44,2.78
"Very Good",63.2,61,1950,6.05,5.97,3.79
"Very Good",63.4,58,10962,7.2,7.16,4.55
"Ideal",61.8,55,1316,5.22,5.27,3.24
"Very Good",59.3,61,4435,6.56,6.52,3.88
"Ideal",62,53.7,3082,5.4,5.44,3.36
"Premium",61.2,58,7631,7.51,7.43,4.57
"Fair",64.5,56,5041,6.7,6.66,4.31
"Ideal",61.7,54,571,4.54,4.57,2.81
"Ideal",62.5,55,3338,6.21,6.15,3.86
"Very Good",60.8,56,10255,7.67,7.72,4.68
"Ideal",61.9,54,983,5.13,5.15,3.18
"Ideal",61.3,56,1200,4.63,4.73,2.87
"Ideal",62.3,55,862,4.31,4.32,2.69
"Ideal",61.8,56,9457,6.72,6.75,4.16
"Very Good",61.6,59,666,4.68,4.74,2.9
"Ideal",62,56,1178,5.09,5.12,3.16
"Very Good",63.3,56,6672,6.75,6.7,4.26
"Ideal",61.5,57,1682,5.11,5.16,3.16
"Ideal",62.1,57,13880,8.15,8.08,5.04
"Premium",62.5,58,17666,8.43,8.37,5.25
"Good",63.8,58,5597,6.75,6.64,4.27
"Ideal",62.8,57,872,4.37,4.33,2.73
"Ideal",61.6,56,14414,6.85,6.88,4.23
"Ideal",60.6,57,2512,5.7,5.75,3.47
"Premium",59.7,60,17773,7.62,7.56,4.53
"Premium",62,58,561,4.33,4.38,2.7
"Ideal",61.4,57,2596,5.69,5.67,3.49
"Very Good",61.5,58,756,4.8,4.83,2.96
"Premium",61.8,58,765,4.5,4.47,2.77
"Premium",61.1,58,6261,7.02,6.98,4.28
"Good",63.3,55,789,4.26,4.3,2.71
"Good",63.5,58,565,4.21,4.26,2.69
"Ideal",61.9,55,898,4.7,4.64,2.89
"Ideal",61.9,55,702,4.42,4.43,2.74
"Premium",62.9,59,3363,6.15,6.12,3.86
"Very Good",61.1,57,1771,5.39,5.48,3.32
"Premium",61.9,58,4332,6.84,6.77,4.21
"Premium",59,62,6494,7.41,7.36,4.36
"Ideal",61.9,56,15000,7.53,7.47,4.64
"Ideal",61.4,55,1615,5.23,5.26,3.22
"Very Good",62.4,57,2206,5.66,5.69,3.54
"Ideal",61.8,57,696,4.48,4.52,2.78
"Premium",60.7,59,1720,5.18,5.14,3.13
"Premium",62.5,60,889,4.64,4.67,2.91
"Premium",62.2,60,5889,6.8,6.83,4.24
"Good",63.6,59,8134,7.53,7.48,4.77
"Very Good",61.6,58,3449,6.47,6.58,4.02
"Very Good",60.5,59,12451,7.72,7.76,4.68
"Ideal",59.9,56,1442,5.41,5.47,3.26
"Good",64.1,58,3349,6.26,6.31,4.03
"Ideal",61.5,55,651,4.59,4.62,2.83
"Very Good",62.3,57,622,4.13,4.15,2.58
"Very Good",63.2,57,684,4.58,4.54,2.88
"Ideal",61.3,56,18531,8.45,8.36,5.15
"Premium",62,58,789,4.54,4.56,2.82
"Very Good",62.4,55,2403,5.44,5.47,3.4
"Premium",62.9,60,3915,6.36,6.32,3.99
"Premium",60.5,62,14238,8.18,8.15,4.94
"Ideal",62.2,57,596,4.44,4.47,2.77
"Good",62.8,58,2363,5.86,5.9,3.69
"Good",61.4,61,1613,5.03,5.04,3.09
"Very Good",61.8,57,357,3.9,3.93,2.42
"Good",62.8,57,1790,5.58,5.66,3.53
"Good",63.2,61,3398,6.12,6.03,3.84
"Premium",59.8,60,2753,5.43,5.38,3.23
"Premium",60.6,56,2337,5.94,5.9,3.59
"Good",64.3,53,3965,6.34,6.29,4.06
"Ideal",62.3,54,1279,5.11,5.13,3.19
"Premium",60.2,61,4374,6.64,6.61,3.99
"Very Good",62.6,58,1190,5.11,5.14,3.21
"Ideal",62.5,56,734,4.34,4.36,2.72
"Good",64,54,4026,6.31,6.26,4.01
"Ideal",61.8,56,2171,5.69,5.71,3.52
"Very Good",62.8,59,6499,6.34,6.37,3.99
"Ideal",61.2,56,723,4.45,4.47,2.73
"Very Good",62.8,57,1049,4.92,4.83,3.06
"Premium",61.2,57,17492,7.73,7.64,4.7
"Very Good",62.3,55,1227,5.14,5.17,3.21
"Very Good",62.8,57,1090,5.28,5.33,3.33
"Ideal",62.1,55,789,4.27,4.3,2.66
"Premium",60.9,59,3394,6.42,6.35,3.89
"Ideal",61.6,57,5712,6.84,6.79,4.2
"Very Good",62.1,58,1662,5.21,5.23,3.24
"Ideal",62.1,56,2306,5.68,5.72,3.54
"Ideal",60.7,55,2801,6.37,6.41,3.88
"Very Good",62.7,58,13099,7.86,7.93,4.95
"Ideal",61.4,57,753,4.76,4.79,2.93
"Very Good",62.7,57,1706,5.39,5.42,3.39
"Premium",62,60,658,4.23,4.26,2.63
"Very Good",60.5,63,10106,7.52,7.45,4.53
"Very Good",62.9,57,4580,6.16,6.18,3.88
"Premium",60.7,58,7059,6.52,6.49,3.95
"Ideal",61.9,54,732,4.91,4.95,3.05
"Ideal",62.6,56,5535,6.64,6.58,4.14
"Premium",61.1,58,13828,7.42,7.38,4.45
"Premium",61.6,59,540,4.38,4.35,2.69
"Very Good",62.2,57,6183,6.4,6.43,3.99
"Ideal",61.1,55,605,4.32,4.36,2.65
"Ideal",62.6,53.1,475,4.27,4.3,2.69
